Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,,-,12,,90,,,-,,-,1,,25,,86,,1,,2,,,-,2,,22,,,-,,-,,
NEW ENGLAND,2014,1,,-,0,,8,,,-,,-,,-,4,,18,,,-,,-,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,1,,-,2,,10,,,-,,-,1,,7,,31,,1,,1,,,-,0,,3,,,-,,-,,
E.N. CENTRAL,2014,1,,-,1,,8,,,-,,-,,-,9,,44,,,-,1,,,-,1,,17,,,-,,-,,
W.N. CENTRAL,2014,1,,-,2,,44,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2014,1,,-,1,,22,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2014,1,,-,1,,14,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2014,1,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
WEST VIRGINIA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MICHIGAN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
NEW YORK,2014,1,,-,1,,9,,,-,,-,1,,7,,28,,1,,1,,,-,0,,3,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
CONNECTICUT,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW MEXICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
COLORADO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.84384047000049, -106.13360888799969)",
MARYLAND,2014,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
CALIFORNIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW HAMPSHIRE,2014,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
ILLINOIS,2014,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
TENNESSEE,2014,1,,-,1,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
OKLAHOMA,2014,1,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
WISCONSIN,2014,1,,-,0,,6,,,-,,-,,-,9,,43,,,-,1,,,-,0,,5,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
GEORGIA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
PENNSYLVANIA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
KENTUCKY,2014,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
ARKANSAS,2014,1,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
OREGON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
GUAM,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(34.91997872200045, -120.52155783099971)",
ARIZONA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
VERMONT,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
NEW YORK CITY,2014,1,,-,0,,5,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NORTH CAROLINA,2014,1,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MISSISSIPPI,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
VIRGINIA,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
UTAH,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
LOUISIANA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
IOWA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469404401000475, -93.81648936699969)",
IDAHO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW JERSEY,2014,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MONTANA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"MONTANA
(47.066526051000494, -109.42441687999968)",
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
NORTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEBRASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
