Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2016","Invasive Pneumococcal disease§, All ages, Cum 2016, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2016","Invasive Pneumococcal disease§, Age LT 5, Cum 2016, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,280,,265,,613,,280,,613,,10,,22,,33,,10,,27,,38,,85,,223,,38,,77,,,
NEW ENGLAND,2016,1,12,,20,,41,,12,,32,,,-,0,,5,,,-,5,,3,,5,,15,,3,,1,,,
MID. ATLANTIC,2016,1,36,,40,,98,,36,,98,,,-,2,,7,,,-,3,,16,,20,,101,,16,,17,,,
NEW YORK CITY,2016,1,17,,12,,28,,17,,28,,,-,1,,3,,,-,1,,4,,5,,84,,4,,8,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,67,,50,,119,,67,,119,,3,,3,,9,,3,,2,,9,,16,,97,,9,,23,,,
W.N. CENTRAL,2016,1,11,,16,,49,,11,,47,,,-,1,,7,,,-,4,,,-,4,,22,,,-,5,,,
S. ATLANTIC,2016,1,68,,45,,132,,68,,132,,4,,4,,10,,4,,6,,7,,18,,30,,7,,13,,,
DIST. OF COL.,2016,1,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,38,,29,,75,,38,,75,,1,,2,,4,,1,,1,,2,,5,,15,,2,,3,,,
W.S. CENTRAL,2016,1,7,,41,,95,,7,,43,,,-,4,,12,,,-,4,,,-,8,,15,,,-,,-,,
MOUNTAIN,2016,1,40,,28,,64,,40,,64,,2,,2,,8,,2,,2,,1,,3,,8,,1,,5,,,
PACIFIC,2016,1,1,,3,,8,,1,,3,,,-,0,,2,,,-,,-,,-,8,,16,,,-,10,,,
AMER. SAMOA,2016,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OKLAHOMA,2016,1,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,0,,9,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2016,1,,-,7,,19,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NORTH CAROLINA,2016,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,8,,,-,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,1,,-,10,,25,,,-,14,,,-,0,,3,,,-,,-,,-,2,,8,,,-,4,,"INDIANA
(39.76845, -86.156212)",
OHIO,2016,1,41,,18,,54,,41,,54,,3,,1,,4,,3,,2,,8,,8,,74,,8,,9,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2016,1,10,,16,,31,,10,,24,,,-,1,,3,,,-,1,,7,,6,,25,,7,,2,,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2016,1,33,,12,,41,,33,,41,,2,,1,,5,,2,,1,,1,,2,,4,,1,,2,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2016,1,,-,3,,7,,,-,3,,,-,0,,2,,,-,,N,,-,0,,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2016,1,,-,1,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2016,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ALASKA,2016,1,1,,2,,7,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
PENNSYLVANIA,2016,1,9,,9,,23,,9,,23,,,-,0,,3,,,-,1,,5,,5,,22,,5,,4,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2016,1,3,,1,,5,,3,,2,,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEVADA,2016,1,,-,2,,10,,,-,10,,,-,0,,2,,,-,1,,,-,0,,2,,,-,1,,"NEVADA
(39.491833, -117.070159)",
CALIFORNIA,2016,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,7,,16,,,-,9,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2016,1,4,,2,,11,,4,,3,,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2016,1,1,,5,,22,,1,,6,,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MISSISSIPPI,2016,1,7,,5,,9,,7,,3,,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2016,1,4,,3,,7,,4,,4,,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MAINE
(45.252223, -68.986647)",
MISSOURI,2016,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,2,,19,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2016,1,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2016,1,,-,1,,5,,,-,5,,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2016,1,7,,3,,8,,7,,3,,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2016,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,,-,2,,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2016,1,11,,13,,37,,11,,37,,,-,1,,3,,,-,,-,1,,2,,9,,1,,6,,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2016,1,,-,3,,7,,,-,3,,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2016,1,,-,0,,23,,,-,23,,,-,0,,2,,,-,,-,,-,3,,10,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2016,1,4,,4,,13,,4,,7,,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2016,1,8,,16,,50,,8,,47,,,-,1,,4,,,-,1,,,-,2,,9,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
SOUTH CAROLINA,2016,1,15,,7,,32,,15,,32,,,-,0,,3,,,-,2,,,-,1,,3,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
