Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue Fever, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Hemorrhagic Fever, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,75,,112,,334,,75,,61,,,-,8,,23,,,-,9,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,1,,-,5,,17,,,-,4,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,1,3,,11,,34,,3,,7,,,-,2,,9,,,-,1,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,1,6,,21,,69,,6,,16,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,1,5,,14,,39,,5,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,1,45,,29,,150,,45,,12,,,-,2,,6,,,-,3,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,11,,6,,17,,11,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,1,3,,12,,31,,3,,2,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,1,2,,7,,21,,2,,4,,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2015,1,,-,9,,24,,,-,4,,,-,1,,7,,,-,4,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OHIO,2015,1,4,,6,,15,,4,,3,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
WEST VIRGINIA,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MARYLAND,2015,1,,-,1,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
ILLINOIS,2015,1,,-,2,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
