Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive, Current week","West Nile virus disease§, Neuroinvasive, Current week, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive, Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive, Cum 2016","West Nile virus disease§, Neuroinvasive, Cum 2016, flag","West Nile virus disease§, Neuroinvasive, Cum 2015","West Nile virus disease§, Neuroinvasive, Cum 2015, flag","West Nile virus disease§, Nonneuroinvasiveś, Current week","West Nile virus disease§, Nonneuroinvasiveś, Current week, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś, Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016","West Nile virus disease§, Nonneuroinvasiveś, Cum 2016, flag","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015","West Nile virus disease§, Nonneuroinvasiveś, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,1,,149,,,-,,-,,-,1,,89,,,-,,-,,
NEW ENGLAND,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2016,1,,-,0,,10,,,-,,-,,-,0,,6,,,-,,-,,
NEW YORK CITY,2016,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,0,,21,,,-,,-,,-,0,,8,,,-,,-,,
W.N. CENTRAL,2016,1,,-,0,,11,,,-,,-,,-,0,,23,,,-,,-,,
S. ATLANTIC,2016,1,,-,0,,11,,,-,,-,,-,0,,8,,,-,,-,,
DIST. OF COL.,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,
W.S. CENTRAL,2016,1,,-,1,,34,,,-,,-,,-,0,,17,,,-,,-,,
MOUNTAIN,2016,1,,-,0,,20,,,-,,-,,-,0,,18,,,-,,-,,
PACIFIC,2016,1,,-,0,,53,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MISSOURI,2016,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2016,1,,-,0,,3,,,-,,-,,-,0,,7,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2016,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2016,1,,-,0,,3,,,-,,-,,-,0,,4,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH CAROLINA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TEXAS,2016,1,,-,0,,22,,,-,,-,,-,0,,12,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2016,1,,-,0,,11,,,-,,-,,-,0,,6,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2016,1,,-,0,,11,,,-,,-,,-,0,,12,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2016,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2016,1,,-,0,,7,,,-,,-,,-,0,,5,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
VIRGINIA,2016,1,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2016,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MAINE,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2016,1,,-,0,,52,,,-,,-,,-,0,,24,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ARIZONA,2016,1,,-,0,,9,,,-,,-,,-,0,,5,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2016,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2016,1,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2016,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2016,1,,-,0,,3,,,-,,-,,-,0,,8,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2016,1,,-,0,,6,,,-,,-,,-,0,,7,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MASSACHUSETTS,2016,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
OHIO,2016,1,,-,0,,4,,,-,,-,,-,0,,3,,,-,,-,"OHIO
(40.056807, -82.405897)",
