Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Tetanus, Cum 2014","Tetanus, Cum 2014, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Varicella (chickenpox), Cum 2014","Varicella (chickenpox), Cum 2014, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag","Vibriosis§, Cum 2014","Vibriosis§, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,1,,0,,2,,1,,,-,68,,170,,270,,68,,90,,6,,14,,78,,6,,3,,,
NEW ENGLAND,2015,1,,-,0,,0,,,-,,-,7,,19,,39,,7,,10,,,-,1,,7,,,-,,-,,
MID. ATLANTIC,2015,1,,-,0,,1,,,-,,-,10,,20,,37,,10,,11,,1,,1,,10,,1,,,-,,
E.N. CENTRAL,2015,1,,-,0,,1,,,-,,-,19,,44,,73,,19,,32,,,-,1,,7,,,-,,-,,
W.N. CENTRAL,2015,1,,-,0,,1,,,-,,-,2,,9,,23,,2,,12,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,1,1,,0,,1,,1,,,-,18,,21,,46,,18,,9,,5,,6,,17,,5,,,-,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,1,,,-,,-,3,,2,,8,,3,,1,,,-,1,,5,,,-,1,,,
W.S. CENTRAL,2015,1,,-,0,,1,,,-,,-,1,,35,,64,,1,,1,,,-,2,,8,,,-,1,,,
MOUNTAIN,2015,1,,-,0,,0,,,-,,-,8,,16,,53,,8,,12,,,-,0,,5,,,-,1,,,
PACIFIC,2015,1,,-,0,,2,,,-,,-,,-,2,,9,,,-,2,,,-,3,,38,,,-,,-,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IDAHO,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
KANSAS,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
KENTUCKY,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
INDIANA,2015,1,,-,0,,1,,,-,,-,,-,4,,11,,,-,6,,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
LOUISIANA,2015,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,4,,,-,1,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NORTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
OHIO,2015,1,,-,0,,1,,,-,,-,7,,10,,22,,7,,3,,,-,0,,4,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
COLORADO,2015,1,,-,0,,0,,,-,,-,7,,4,,27,,7,,1,,,-,0,,3,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
WEST VIRGINIA,2015,1,,-,0,,0,,,-,,-,,-,2,,9,,,-,1,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WISCONSIN,2015,1,,-,0,,1,,,-,,-,4,,7,,15,,4,,8,,,-,0,,1,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MONTANA,2015,1,,-,0,,0,,,-,,-,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEVADA,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
ARIZONA,2015,1,,-,0,,0,,,-,,-,1,,5,,22,,1,,4,,,-,0,,3,,,-,1,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
OKLAHOMA,2015,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MARYLAND,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,1,,1,,4,,1,,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
GUAM,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MASSACHUSETTS,2015,1,,-,0,,0,,,-,,-,,-,8,,18,,,-,2,,,-,1,,6,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW YORK CITY,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEW HAMPSHIRE,2015,1,,-,0,,0,,,-,,-,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MICHIGAN,2015,1,,-,0,,0,,,-,,-,4,,10,,33,,4,,6,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
TEXAS,2015,1,,-,0,,1,,,-,,-,1,,31,,59,,1,,1,,,-,1,,5,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
FLORIDA,2015,1,1,,0,,1,,1,,,-,18,,10,,28,,18,,2,,3,,3,,9,,3,,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
ILLINOIS,2015,1,,-,0,,0,,,-,,-,4,,11,,23,,4,,9,,,-,0,,3,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW YORK,2015,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
GEORGIA,2015,1,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,,-,0,,1,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
