Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2016","Rubella, Cum 2016, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2016","Rubella, congenital syndrome, Cum 2016, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,285,,928,,1629,,285,,571,,,
NEW ENGLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,33,,87,,11,,24,,,
MID. ATLANTIC,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,26,,85,,167,,26,,43,,,
NEW YORK CITY,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,14,,16,,37,,14,,16,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,31,,98,,192,,31,,85,,,
W.N. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,13,,33,,59,,13,,28,,,
S. ATLANTIC,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,126,,248,,484,,126,,190,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,16,,66,,136,,16,,34,,,
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,23,,150,,335,,23,,30,,,
MOUNTAIN,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,59,,176,,17,,36,,,
PACIFIC,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,22,,123,,266,,22,,101,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEVADA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,13,,,-,6,,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,20,,58,,2,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,18,,47,,,-,8,,"NEW JERSEY
(40.104655, -74.386686)",
MASSACHUSETTS,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,19,,50,,8,,16,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,36,,97,,17,,23,,"GEORGIA
(32.836038, -83.631709)",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,10,,21,,7,,3,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,,-,6,,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,30,,26,,48,,30,,26,,"OHIO
(40.056807, -82.405897)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,7,,30,,3,,7,,"UTAH
(39.359772, -111.584173)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,1,,1,,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,16,,,-,12,,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,19,,25,,68,,19,,25,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,108,,1,,2,,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,61,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,29,,146,,,-,28,,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,92,,192,,15,,92,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,16,,35,,6,,8,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,7,,25,,1,,6,,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,6,,13,,5,,1,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,26,,49,,6,,4,,"NEW YORK
(42.826892, -75.544286)",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,28,,,-,12,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,26,,71,,6,,15,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,13,,88,,,-,3,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,17,,33,,1,,14,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,79,,119,,191,,79,,80,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,24,,,-,7,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,14,,34,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,19,,54,,1,,11,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,18,,41,,8,,12,,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,72,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,2,,8,,3,,1,,"MAINE
(45.252223, -68.986647)",
VERMONT,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KENTUCKY,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,11,,23,,,-,6,,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARIZONA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,19,,51,,10,,14,,"ARIZONA
(34.869712, -111.760902)",
SOUTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,4,,11,,2,,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,34,,71,,,-,30,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,,-,4,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,24,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,24,,62,,,-,16,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,35,,1,,,-,"MONTANA
(47.062617, -109.430168)",
IOWA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,11,,27,,6,,6,,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,23,,100,,209,,23,,12,,"TEXAS
(31.827233, -99.423022)",
AMER. SAMOA,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,2,,11,,2,,2,,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,2,,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,22,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,16,,37,,8,,15,,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,N,,-,10,,22,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
