 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,89,,234,390,,,89,,156,,2906,,6438,,7209,,2906,,5371,,51,,60,,90,,51,,85,,,
NEW ENGLAND,2015,1,2,,25,49,,,2,,13,,1,,133,,190,,1,,170,,1,,4,,10,,1,,4,,,
MID. ATLANTIC,2015,1,23,,47,75,,,23,,36,,301,,746,,952,,301,,477,,11,,10,,19,,11,,16,,,
E.N. CENTRAL,2015,1,10,,27,53,,,10,,22,,332,,911,,1196,,332,,620,,13,,8,,19,,13,,14,,,
W.N. CENTRAL,2015,1,3,,15,38,,,3,,8,,186,,355,,416,,186,,262,,,-,5,,10,,,-,14,,,
S. ATLANTIC,2015,1,23,,47,89,,,23,,36,,781,,1390,,1759,,781,,1190,,15,,15,,26,,15,,14,,,
DIST. OF COL.,2015,1,,-,1,3,,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,3,10,,,,-,,-,70,,463,,649,,70,,526,,7,,4,,9,,7,,7,,,
W.S. CENTRAL,2015,1,3,,6,19,,,3,,3,,924,,1026,,1363,,924,,800,,3,,4,,10,,3,,2,,,
MOUNTAIN,2015,1,3,,20,43,,,3,,10,,86,,338,,436,,86,,365,,,-,6,,13,,,-,11,,,
PACIFIC,2015,1,22,,52,97,,,22,,28,,225,,1045,,1179,,225,,961,,1,,3,,7,,1,,3,,,
AMER. SAMOA,2015,1,,-,,,-,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,,-,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,0,,,,-,,-,,-,1,,6,,,-,2,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEVADA,2015,1,,-,1,5,,,,-,,-,,-,51,,123,,,-,94,,,-,0,,2,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
CONNECTICUT,2015,1,,-,4,10,,,,-,1,,,-,40,,81,,,-,116,,,-,1,,3,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
WASHINGTON,2015,1,,-,7,29,,,,-,,-,,-,86,,128,,,-,52,,,-,0,,1,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
NEW YORK CITY,2015,1,12,,14,31,,,12,,7,,,-,261,,342,,,-,177,,3,,2,,6,,3,,2,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
OREGON,2015,1,2,,7,14,,,2,,7,,56,,42,,131,,56,,28,,1,,1,,4,,1,,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
CALIFORNIA,2015,1,20,,35,66,,,20,,20,,169,,876,,1018,,169,,843,,,-,0,,3,,,-,2,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
GEORGIA,2015,1,,-,11,22,,,,-,13,,92,,257,,322,,92,,59,,,-,2,,6,,,-,3,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ARIZONA,2015,1,,-,2,11,,,,-,,-,,-,140,,203,,,-,145,,,-,1,,8,,,-,2,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
KANSAS,2015,1,,-,2,6,,,,-,2,,48,,49,,71,,48,,37,,,-,0,,3,,,-,2,,"KANSAS
(38.347742794000055, -98.20077822999997)",
ILLINOIS,2015,1,,-,0,7,,,,-,3,,16,,219,,315,,16,,130,,,-,2,,6,,,-,4,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MISSOURI,2015,1,1,,5,13,,,1,,3,,134,,141,,193,,134,,103,,,-,1,,6,,,-,6,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
OHIO,2015,1,7,,7,21,,,7,,4,,90,,308,,374,,90,,245,,11,,2,,9,,11,,4,,"OHIO
(40.060212455000055, -82.40425667899996)",
KENTUCKY,2015,1,,N,0,0,,,,N,,N,,-,79,,166,,,-,16,,,-,0,,3,,,-,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NORTH CAROLINA,2015,1,,N,0,0,,,,N,,N,378,,246,,512,,378,,244,,5,,2,,9,,5,,2,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
NEW MEXICO,2015,1,,-,1,7,,,,-,1,,14,,41,,71,,14,,27,,,-,1,,3,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW HAMPSHIRE,2015,1,,-,1,6,,,,-,1,,,-,4,,10,,,-,1,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WISCONSIN,2015,1,1,,7,22,,,1,,8,,40,,77,,107,,40,,58,,,-,0,,4,,,-,2,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WYOMING,2015,1,,-,0,2,,,,-,,-,,-,1,,8,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
WEST VIRGINIA,2015,1,,-,1,3,,,,-,,-,11,,16,,26,,11,,20,,,-,1,,5,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEBRASKA,2015,1,2,,2,9,,,2,,2,,,-,28,,55,,,-,17,,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
