Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2014","Shiga toxin-producing E. coli (STEC)§, Cum 2014, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,13,,95,,205,,13,,40,,182,,390,,565,,182,,298,,,
NEW ENGLAND,2015,1,,-,3,,15,,,-,3,,,-,6,,14,,,-,2,,,
MID. ATLANTIC,2015,1,1,,9,,26,,1,,5,,40,,18,,45,,40,,12,,,
E.N. CENTRAL,2015,1,2,,11,,38,,2,,9,,14,,60,,126,,14,,25,,,
W.N. CENTRAL,2015,1,,-,10,,35,,,-,2,,25,,47,,93,,25,,28,,,
S. ATLANTIC,2015,1,4,,10,,24,,4,,5,,40,,84,,159,,40,,148,,,
DIST. OF COL.,2015,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,1,,4,,15,,1,,3,,20,,30,,59,,20,,50,,,
W.S. CENTRAL,2015,1,3,,14,,33,,3,,1,,9,,69,,249,,9,,8,,,
MOUNTAIN,2015,1,,-,10,,28,,,-,5,,5,,13,,24,,5,,14,,,
PACIFIC,2015,1,2,,17,,58,,2,,7,,29,,26,,59,,29,,11,,,
AMER. SAMOA,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK CITY,2015,1,1,,1,,5,,1,,1,,30,,7,,22,,30,,6,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
ALASKA,2015,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
MONTANA,2015,1,,-,0,,4,,,-,,-,2,,0,,7,,2,,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
OHIO,2015,1,2,,3,,12,,2,,,-,11,,11,,22,,11,,14,,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,1,,-,2,,8,,,-,1,,,-,4,,19,,,-,3,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
ARKANSAS,2015,1,,-,2,,5,,,-,,-,1,,7,,197,,1,,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
NORTH DAKOTA,2015,1,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
NEVADA,2015,1,,-,0,,5,,,-,1,,,-,0,,6,,,-,4,,"NEVADA
(39.49324221300003, -117.07183885899997)",
DELAWARE,2015,1,,-,0,,2,,,-,,-,,-,1,,4,,,-,1,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
UTAH,2015,1,,-,1,,6,,,-,,-,,-,0,,4,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
CALIFORNIA,2015,1,,-,10,,26,,,-,5,,29,,21,,50,,29,,10,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
IDAHO,2015,1,,-,2,,9,,,-,,-,1,,0,,2,,1,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
IOWA,2015,1,,-,2,,14,,,-,1,,,-,3,,12,,,-,6,,"IOWA
(42.469401411000035, -93.81648725599996)",
